system_id,split,source_manifest,source_manifest_sha256,dataset_sha256,seed,min_points_per_group
1.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
3.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
4.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
5.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
6.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
7.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
8.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
9.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
10.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
11.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
12.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
13.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
15.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
16.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
17.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
18.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
19.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
20.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
24.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
27.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
29.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
30.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
32.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
33.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
34.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
35.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
36.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
38.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
39.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
40.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
45.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
46.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
47.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
48.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
49.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
50.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
51.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
52.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
53.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
54.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
55.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
56.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
57.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
58.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
59.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
60.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
61.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
62.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
64.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
65.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
66.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
67.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
68.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
70.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
72.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
77.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
78.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
79.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
80.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
81.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
82.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
83.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
84.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
86.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
87.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
89.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
90.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
91.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
92.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
93.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
94.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
95.0,train,datasets\splits\main_benchmark_system_split.json,83b354d7aa91c0f94044f461d489d9a39ecf3729bcdfabc1c6e77899a18ede9a,76812d7a9ba8c6e6660e1acbf15817ff0725664d7fcf69b0fb0a84e133529f06,42,6
