model,metric,mean,std
ann,test_mae,0.0586,0.0077
ann,test_mae_E,0.0575,0.0069
ann,test_mae_R,0.0597,0.0095
ann,test_mse,0.0119,0.0039
ann,test_r2,0.8969,0.0349
ann,test_r2_E,0.9093,0.0284
ann,test_r2_R,0.8864,0.0462
ann,test_rmse,0.1072,0.0185
ann,test_rmse_E,0.095,0.0142
ann,test_rmse_R,0.1179,0.0241
ann,val_mae,0.0599,0.0035
ann,val_mae_E,0.0597,0.0052
ann,val_mae_R,0.0601,0.0036
ann,val_mse,0.0133,0.0009
ann,val_r2,0.8846,0.0089
ann,val_r2_E,0.8893,0.0257
ann,val_r2_R,0.8813,0.0138
ann,val_rmse,0.1152,0.004
ann,val_rmse_E,0.1028,0.0123
ann,val_rmse_R,0.1257,0.0071
lstm,test_mae,0.0542,0.0049
lstm,test_mae_E,0.0535,0.0066
lstm,test_mae_R,0.0549,0.004
lstm,test_mse,0.0112,0.0023
lstm,test_r2,0.9031,0.0205
lstm,test_r2_E,0.9101,0.0304
lstm,test_r2_R,0.8971,0.0202
lstm,test_rmse,0.105,0.0109
lstm,test_rmse_E,0.0943,0.0146
lstm,test_rmse_R,0.1143,0.0116
lstm,val_mae,0.057,0.0041
lstm,val_mae_E,0.0564,0.0052
lstm,val_mae_R,0.0577,0.0064
lstm,val_mse,0.0136,0.0013
lstm,val_r2,0.8821,0.0129
lstm,val_r2_E,0.8933,0.024
lstm,val_r2_R,0.874,0.0239
lstm,val_rmse,0.1163,0.0058
lstm,val_rmse_E,0.1009,0.0094
lstm,val_rmse_R,0.1292,0.0129
mlp,test_mae,0.0612,0.0062
mlp,test_mae_E,0.0603,0.0064
mlp,test_mae_R,0.062,0.007
mlp,test_mse,0.0121,0.0032
mlp,test_r2,0.8948,0.029
mlp,test_r2_E,0.9024,0.028
mlp,test_r2_R,0.8881,0.0366
mlp,test_rmse,0.109,0.0146
mlp,test_rmse_E,0.0987,0.0131
mlp,test_rmse_R,0.1181,0.0186
mlp,val_mae,0.0614,0.0034
mlp,val_mae_E,0.0608,0.0058
mlp,val_mae_R,0.0619,0.0027
mlp,val_mse,0.0129,0.0012
mlp,val_r2,0.8874,0.0116
mlp,val_r2_E,0.8934,0.0294
mlp,val_r2_R,0.8826,0.0068
mlp,val_rmse,0.1137,0.0051
mlp,val_rmse_E,0.1004,0.0122
mlp,val_rmse_R,0.1251,0.0038
random_forest,test_mae,0.0449,0.0056
random_forest,test_mae_E,0.0458,0.0076
random_forest,test_mae_R,0.0439,0.0043
random_forest,test_mse,0.0078,0.0022
random_forest,test_r2,0.9321,0.0201
random_forest,test_r2_E,0.9314,0.0287
random_forest,test_r2_R,0.9325,0.0147
random_forest,test_rmse,0.0875,0.0114
random_forest,test_rmse_E,0.082,0.0151
random_forest,test_rmse_R,0.0925,0.0088
random_forest,val_mae,0.0468,0.0037
random_forest,val_mae_E,0.0486,0.004
random_forest,val_mae_R,0.0451,0.0045
random_forest,val_mse,0.0099,0.0015
random_forest,val_r2,0.9137,0.0136
random_forest,val_r2_E,0.9155,0.021
random_forest,val_r2_R,0.9122,0.0146
random_forest,val_rmse,0.0994,0.0078
random_forest,val_rmse_E,0.0897,0.0098
random_forest,val_rmse_R,0.1079,0.0095
smiles_rnn,test_mae,0.178,0.0028
smiles_rnn,test_mae_E,0.1604,0.0027
smiles_rnn,test_mae_R,0.1956,0.0065
smiles_rnn,test_mse,0.0572,0.0016
smiles_rnn,test_r2,0.5039,0.0128
smiles_rnn,test_r2_E,0.5978,0.0213
smiles_rnn,test_r2_R,0.4292,0.0129
smiles_rnn,test_rmse,0.2391,0.0032
smiles_rnn,test_rmse_E,0.2025,0.0032
smiles_rnn,test_rmse_R,0.2707,0.0067
smiles_rnn,val_mae,0.1833,0.0026
smiles_rnn,val_mae_E,0.163,0.0027
smiles_rnn,val_mae_R,0.2037,0.0039
smiles_rnn,val_mse,0.0605,0.0013
smiles_rnn,val_r2,0.4744,0.0135
smiles_rnn,val_r2_E,0.5584,0.0217
