Model,Metric,Mean,Std
ann,MAE_E,0.0575,0.0069
ann,test_rmse_E,0.095,0.0142
ann,R2_E,0.9093,0.0284
ann,MAE_R,0.0597,0.0095
ann,test_rmse_R,0.1179,0.0241
ann,R2_R,0.8864,0.0462
ann,MAE,0.0586,0.0077
ann,MSE,0.0119,0.0039
ann,test_rmse,0.1072,0.0185
ann,R2,0.8969,0.0349
lstm,MAE_E,0.0535,0.0066
lstm,test_rmse_E,0.0943,0.0146
lstm,R2_E,0.9101,0.0304
lstm,MAE_R,0.0549,0.004
lstm,test_rmse_R,0.1143,0.0116
lstm,R2_R,0.8971,0.0202
lstm,MAE,0.0542,0.0049
lstm,MSE,0.0112,0.0023
lstm,test_rmse,0.105,0.0109
lstm,R2,0.9031,0.0205
mlp,MAE_E,0.0603,0.0064
mlp,test_rmse_E,0.0987,0.0131
mlp,R2_E,0.9024,0.028
mlp,MAE_R,0.062,0.007
mlp,test_rmse_R,0.1181,0.0186
mlp,R2_R,0.8881,0.0366
mlp,MAE,0.0612,0.0062
mlp,MSE,0.0121,0.0032
mlp,test_rmse,0.109,0.0146
mlp,R2,0.8948,0.029
random_forest,MAE_E,0.0458,0.0076
random_forest,test_rmse_E,0.082,0.0151
random_forest,R2_E,0.9314,0.0287
random_forest,MAE_R,0.0439,0.0043
random_forest,test_rmse_R,0.0925,0.0088
random_forest,R2_R,0.9325,0.0147
random_forest,MAE,0.0449,0.0056
random_forest,MSE,0.0078,0.0022
random_forest,test_rmse,0.0875,0.0114
random_forest,R2,0.9321,0.0201
smiles_rnn,MAE_E,0.1604,0.0027
smiles_rnn,test_rmse_E,0.2025,0.0032
smiles_rnn,R2_E,0.5978,0.0213
smiles_rnn,MAE_R,0.1956,0.0065
smiles_rnn,test_rmse_R,0.2707,0.0067
smiles_rnn,R2_R,0.4292,0.0129
smiles_rnn,MAE,0.178,0.0028
smiles_rnn,MSE,0.0572,0.0016
smiles_rnn,test_rmse,0.2391,0.0032
smiles_rnn,R2,0.5039,0.0128
tabknet,MAE_E,0.051,0.0061
tabknet,test_rmse_E,0.0895,0.0135
tabknet,R2_E,0.9192,0.0269
tabknet,MAE_R,0.0496,0.0061
tabknet,test_rmse_R,0.1007,0.0165
tabknet,R2_R,0.9182,0.0296
tabknet,MAE,0.0503,0.0057
tabknet,MSE,0.0093,0.0028
tabknet,test_rmse,0.0955,0.0137
tabknet,R2,0.9189,0.0263
tabnet,MAE_E,0.0873,0.0112
tabnet,test_rmse_E,0.1304,0.0098
tabnet,R2_E,0.8319,0.0292
tabnet,MAE_R,0.0893,0.0074
tabnet,test_rmse_R,0.1616,0.0061
tabnet,R2_R,0.7956,0.0202
tabnet,MAE,0.0883,0.0086
tabnet,MSE,0.0216,0.0014
tabnet,test_rmse,0.147,0.0047
tabnet,R2,0.8121,0.0148
transformer,MAE_E,0.0495,0.0054
transformer,test_rmse_E,0.085,0.0135
transformer,R2_E,0.927,0.0247
transformer,MAE_R,0.0493,0.0038
transformer,test_rmse_R,0.0997,0.0124
transformer,R2_R,0.9209,0.0221
transformer,MAE,0.0494,0.0043
transformer,MSE,0.0087,0.0023
transformer,test_rmse,0.0928,0.0116
transformer,R2,0.9238,0.0214
xgboost,MAE_E,0.0433,0.0078
xgboost,test_rmse_E,0.079,0.0171
xgboost,R2_E,0.9354,0.0312
xgboost,MAE_R,0.0441,0.0052
xgboost,test_rmse_R,0.0964,0.0106
xgboost,R2_R,0.9264,0.0178
xgboost,MAE,0.0437,0.0061
xgboost,MSE,0.008,0.0024
xgboost,test_rmse,0.0883,0.0128
xgboost,R2,0.9306,0.0225
