Model,Metric,Mean,Std
ann,MAE_E,0.0654,0.0
ann,test_rmse_E,0.118,0.0
ann,R2_E,0.8601,0.0
ann,MAE_R,0.0678,0.0
ann,test_rmse_R,0.1458,0.0
ann,R2_R,0.829,0.0
ann,MAE,0.0666,0.0
ann,MSE,0.0176,0.0
ann,test_rmse,0.1326,0.0
ann,R2,0.8428,0.0
gnn,MAE_E,0.0522,0.0064
gnn,test_rmse_E,0.0886,0.015
gnn,R2_E,0.9204,0.0294
gnn,MAE_R,0.0576,0.0076
gnn,test_rmse_R,0.1113,0.0176
gnn,R2_R,0.9006,0.0315
gnn,MAE,0.0549,0.0063
gnn,MSE,0.0104,0.0031
gnn,test_rmse,0.1008,0.0152
gnn,R2,0.9096,0.0279
mlp,MAE_E,0.0603,0.0066
mlp,test_rmse_E,0.0988,0.0133
mlp,R2_E,0.9021,0.0284
mlp,MAE_R,0.0627,0.0074
mlp,test_rmse_R,0.1191,0.0191
mlp,R2_R,0.8862,0.0375
mlp,MAE,0.0615,0.0065
mlp,MSE,0.0122,0.0033
mlp,test_rmse,0.1096,0.015
mlp,R2,0.8936,0.0297
