name,importance
Lipophilicity,5.334640633331675e-17
Fraction SP3,5.0319924525552636e-17
Rotatable Bonds,3.537224146112739e-17
Molar Mass,1.9184498853199402e-17
Molar Refr.,1.538359070362844e-17
Molar Refr. (Norm.),8.229935070103455e-18
TPSA (Norm.),4.284577197342969e-18
Heavy Atoms,2.359832757074715e-18
H-Bond Donors,1.748944778658125e-18
TPSA,1.7296580287006855e-18
Lipophilicity (Norm.),1.549215402312296e-18
H-Bond Acceptors,1.07269795132127e-18
Aromatic Rings,1.0009340361228539e-18
Ring Count,8.140712474101342e-19
Molar Mass (Norm.),0.0
