name,importance
SP3,2.510900131959815e-17
Atom C,2.146209765647231e-17
Degree,2.1095221548109116e-17
Pauling EN,1.6069409458218604e-17
Atom F,1.3593867161542368e-17
Chiral Unspec.,1.3435268513975126e-17
Atom N,1.0651201083706411e-17
Total H,1.0024000483224816e-17
SP2,8.942279852576971e-18
Aromatic,6.634991882758309e-18
vdW Radius,6.116711116615246e-18
In Ring,4.7180388634748446e-18
Covalent Radius,4.696256716404486e-18
Gasteiger Charge,4.065828457172709e-18
Atom O,3.526272605674782e-18
TPSA,3.399920353517001e-18
Atom S,2.3469330822171037e-18
LogP,1.8879454495624546e-18
Atomic Mass,1.4193860964496482e-18
Formal Charge,1.16996673993684e-18
Atomic Number,9.747188213546702e-19
SP,8.491198722409833e-19
Atom B,5.905057311354006e-19
Molar Refr.,5.375362900323783e-19
Atom P,1.7834771393891646e-19
SP3D2,5.386488027198224e-20
Atom Cl,0.0
Atom Si,0.0
Atom H,0.0
Atom Br,0.0
Atom K,0.0
Atom Na,0.0
Atom I,0.0
SP3D,0.0
Atom Fe,0.0
Atom Cu,0.0
Atom Zn,0.0
Other Atom,0.0
Atom Li,0.0
Atom Ca,0.0
Atom Mg,0.0
Atom Al,0.0
Chiral Other,0.0
Chiral CCW,0.0
Chiral CW,0.0
Other Hybrid,0.0
