name,importance
Aromatic Rings Product,5.461029860462838e-19
Fraction SP3 Product,3.225991464259737e-19
Δ Lipophilicity,3.5597443011406784e-23
Δ TPSA,2.9033577543665174e-23
Δ Molar Mass,6.582112412125051e-26
Δ Aromatic Rings,3.1884213963589876e-26
Δ Fraction SP3,1.0913755038264613e-26
Molar Mass Product,8.795255210597987e-27
Δ H-Bond Donors,0.0
Δ H-Bond Acceptors,0.0
Δ Ring Count,0.0
Lipophilicity Product,0.0
TPSA Product,0.0
H-Bond Donors Product,0.0
H-Bond Acceptors Product,0.0
Ring Count Product,0.0
