epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
1,0.06984717,0.16874580,0.22736683,0.54598635,0.15721480,0.20484134,0.58924066,0.18027680,0.24785353,0.51080008,0.18152099,0.23980684,0.50973684,0.16296445,0.20636918,0.56226011,0.20007752,0.26912155,0.47252048
2,0.04687854,0.13857426,0.20051428,0.64689383,0.12734945,0.17770878,0.69084946,0.14979907,0.22097859,0.61113704,0.13564331,0.19649176,0.67084929,0.12550765,0.17187912,0.69635040,0.14577897,0.21834741,0.65278000
3,0.03846901,0.13109580,0.19060811,0.68092155,0.11615572,0.16496340,0.73360417,0.14603589,0.21319002,0.63806558,0.12843177,0.18625828,0.70424146,0.11670695,0.16157209,0.73167624,0.14015659,0.20803547,0.68480202
4,0.03599718,0.12806052,0.19022076,0.68221709,0.11192979,0.16244107,0.74168840,0.14419124,0.21443128,0.63383870,0.12354844,0.18395398,0.71151417,0.11202347,0.15799379,0.74342964,0.13507342,0.20667873,0.68889986
5,0.03461988,0.12538382,0.18575741,0.69695510,0.10803738,0.15727669,0.75785196,0.14273026,0.21041785,0.64741705,0.12086669,0.17906821,0.72663487,0.10978520,0.15354552,0.75767357,0.13194818,0.20138178,0.70464180
6,0.03334613,0.12480437,0.18558138,0.69752916,0.10684614,0.15796952,0.75571386,0.14276260,0.20958657,0.65019739,0.11816669,0.17741855,0.73164842,0.10693916,0.15252917,0.76087099,0.12939421,0.19922233,0.71094221
7,0.03242507,0.12277789,0.18271047,0.70681512,0.10351012,0.15149466,0.77532907,0.14204566,0.20932176,0.65108077,0.11706683,0.17564564,0.73698478,0.10645574,0.14979171,0.76937732,0.12767792,0.19815456,0.71403243
8,0.03173206,0.12106348,0.18097592,0.71235534,0.10187072,0.14893868,0.78284632,0.14025625,0.20813900,0.65501273,0.11615542,0.17510307,0.73860719,0.10631609,0.14996767,0.76883518,0.12599475,0.19705804,0.71718857
9,0.03134487,0.12005992,0.18117955,0.71170770,0.10114923,0.15016846,0.77924544,0.13897062,0.20760898,0.65676747,0.11396275,0.17398208,0.74194328,0.10320459,0.14839565,0.77365608,0.12472091,0.19626070,0.71947257
10,0.03067626,0.12028955,0.18042334,0.71410924,0.10023444,0.14843395,0.78431561,0.14034466,0.20753921,0.65699814,0.11448129,0.17328641,0.74400287,0.10375143,0.14766925,0.77586659,0.12521115,0.19557645,0.72142523
11,0.03055725,0.11969572,0.18179665,0.70974048,0.10056959,0.14995260,0.77987965,0.13882185,0.20884029,0.65268405,0.11341026,0.17442056,0.74064091,0.10189929,0.14782445,0.77539521,0.12492123,0.19746644,0.71601508
12,0.03024831,0.11832466,0.17899713,0.71861120,0.09778144,0.14568710,0.79222446,0.13886788,0.20701500,0.65872868,0.11237468,0.17238403,0.74666209,0.10071962,0.14588260,0.78125737,0.12402975,0.19532224,0.72214894
13,0.02998540,0.11729240,0.17757859,0.72305347,0.09632674,0.14219480,0.80206635,0.13825806,0.20699989,0.65877851,0.11318500,0.17253940,0.74620521,0.10202245,0.14558628,0.78214508,0.12434754,0.19581707,0.72073933
14,0.02965956,0.11625675,0.17707057,0.72463579,0.09555298,0.14258279,0.80098470,0.13696053,0.20585947,0.66252790,0.11124557,0.17102834,0.75063111,0.09930653,0.14393840,0.78704895,0.12318461,0.19437881,0.72482656
15,0.02944698,0.11668892,0.17682299,0.72540529,0.09488790,0.14202804,0.80253032,0.13848993,0.20581733,0.66266605,0.11162023,0.17087577,0.75107582,0.09928197,0.14434119,0.78585544,0.12395849,0.19381093,0.72643206
16,0.02897182,0.11674688,0.17837508,0.72056353,0.09797581,0.14663762,0.78950440,0.13551795,0.20526263,0.66448190,0.11063869,0.17072393,0.75151801,0.09885480,0.14351211,0.78830844,0.12242258,0.19415869,0.72544946
17,0.02874106,0.11503750,0.17582324,0.72850162,0.09458744,0.14174435,0.80331841,0.13548755,0.20429430,0.66764006,0.10912296,0.16856528,0.75776196,0.09656593,0.14053683,0.79699498,0.12167999,0.19255624,0.72996265
18,0.02831406,0.11404556,0.17672732,0.72570235,0.09316298,0.14068036,0.80626006,0.13492813,0.20657717,0.66017070,0.10928133,0.17069981,0.75158822,0.09596345,0.14092944,0.79585916,0.12259922,0.19599935,0.72021920
19,0.02817224,0.11585899,0.17838945,0.72051851,0.09716530,0.14618052,0.79081468,0.13455268,0.20561335,0.66333438,0.10902062,0.17018372,0.75308803,0.09635961,0.14254147,0.79116229,0.12168164,0.19392506,0.72610979
20,0.02767573,0.11251343,0.17357601,0.73539740,0.09174411,0.13884587,0.81127991,0.13328274,0.20243292,0.67366891,0.10597337,0.16504456,0.76777524,0.09229048,0.13497866,0.81273496,0.11965625,0.19042104,0.73591818
21,0.02721348,0.11063724,0.17071055,0.74406161,0.08917126,0.13528101,0.82084626,0.13210321,0.19995808,0.68159926,0.10425855,0.16222105,0.77565286,0.09000305,0.13200053,0.82090734,0.11851405,0.18763582,0.74358694
22,0.02649399,0.11159535,0.17260991,0.73833467,0.09186162,0.13972800,0.80887430,0.13132909,0.20016106,0.68095249,0.10405919,0.16252452,0.77481269,0.09043186,0.13267210,0.81908039,0.11768652,0.18768739,0.74344597
