epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
1,0.00299182,0.04458236,0.08611147,0.93487666,0.04070375,0.06434087,0.95947471,0.04846098,0.10339546,0.91486677,0.03917080,0.06048055,0.96881559,0.04160746,0.06051708,0.96235716,0.03673414,0.06044400,0.97339183
2,0.00299602,0.04459631,0.08448515,0.93731329,0.04108883,0.06328785,0.96079036,0.04810380,0.10134165,0.91821529,0.03961692,0.06040400,0.96889447,0.04107894,0.05908919,0.96411255,0.03815490,0.06169080,0.97228279
3,0.00302074,0.04404821,0.08396208,0.93808711,0.04002484,0.06261938,0.96161428,0.04807159,0.10088645,0.91894835,0.04007582,0.06120638,0.96806260,0.04209061,0.06125227,0.96143700,0.03806103,0.06116046,0.97275730
4,0.00294497,0.04462442,0.08486442,0.93674921,0.04059386,0.06313769,0.96097619,0.04865498,0.10206650,0.91704117,0.03947663,0.06034184,0.96895846,0.04086544,0.05950807,0.96360195,0.03808782,0.06116426,0.97275392
5,0.00291150,0.04580843,0.08555187,0.93572032,0.04131660,0.06436514,0.95944413,0.05030027,0.10244692,0.91642161,0.03949690,0.05967268,0.96964311,0.04070070,0.05882735,0.96442991,0.03829310,0.06050621,0.97333703
6,0.00291933,0.04455517,0.08427432,0.93762576,0.03999047,0.06270235,0.96151249,0.04911987,0.10135452,0.91819451,0.04108425,0.06236265,0.96684452,0.04197269,0.06124974,0.96144019,0.04019581,0.06345605,0.97067387
7,0.00296048,0.04429062,0.08382753,0.93828539,0.04028264,0.06293342,0.96122830,0.04829860,0.10046638,0.91962191,0.03980630,0.06040457,0.96889389,0.04097977,0.05877824,0.96448927,0.03863283,0.06198824,0.97201487
8,0.00289584,0.04426604,0.08451195,0.93727352,0.03985527,0.06277752,0.96142015,0.04867682,0.10170310,0.91763086,0.04019446,0.06211563,0.96710667,0.04144785,0.06138404,0.96127090,0.03894107,0.06283870,0.97124171
9,0.00293392,0.04698691,0.08706829,0.93342139,0.04177650,0.06503008,0.95860186,0.05219732,0.10456033,0.91293772,0.04222293,0.06367551,0.96543386,0.04287255,0.06151532,0.96110507,0.04157331,0.06576478,0.96850110
10,0.00282822,0.04512013,0.08484830,0.93677323,0.04057060,0.06375533,0.96020897,0.04966966,0.10165493,0.91770886,0.03940197,0.05940345,0.96991643,0.04027933,0.05853619,0.96478114,0.03852461,0.06025823,0.97355514
