epoch,train_mse,val_mae,val_rmse,val_r2,val_mae_E,val_rmse_E,val_r2_E,val_mae_R,val_rmse_R,val_r2_R,test_mae,test_rmse,test_r2,test_mae_E,test_rmse_E,test_r2_E,test_mae_R,test_rmse_R,test_r2_R
1,0.04543214,0.12718452,0.18459845,0.70072475,0.11153805,0.15757651,0.75692786,0.14283099,0.20814134,0.65500496,0.12359348,0.18041183,0.72251717,0.11733548,0.16108482,0.73329222,0.12985148,0.19785989,0.71488231
2,0.03227760,0.12224133,0.18060990,0.71351768,0.10290058,0.14935398,0.78163360,0.14158207,0.20720343,0.65810712,0.11584563,0.17350797,0.74334781,0.10670494,0.14890466,0.77210069,0.12498632,0.19503188,0.72297441
3,0.03043280,0.11605798,0.17763465,0.72287858,0.09619304,0.14291535,0.80005527,0.13592291,0.20659948,0.66009731,0.11174315,0.17249479,0.74633645,0.10024038,0.14540989,0.78267268,0.12324592,0.19586952,0.72058972
4,0.02928545,0.11656288,0.17744080,0.72348311,0.09503331,0.14210508,0.80231603,0.13809246,0.20682509,0.65935453,0.10993209,0.16922633,0.75585828,0.09722414,0.14135081,0.79463658,0.12264004,0.19311927,0.72838117
5,0.02719514,0.11126317,0.17420828,0.73346619,0.09285824,0.13973673,0.80885041,0.12966809,0.20290564,0.67214305,0.10358584,0.16511165,0.76758638,0.09039154,0.13303994,0.81807578,0.11678013,0.19189605,0.73181116
6,0.02415577,0.09651565,0.15257801,0.79554458,0.07404270,0.11607448,0.86810580,0.11898859,0.18189782,0.73651789,0.08863667,0.13824874,0.83705970,0.07658264,0.11148888,0.87224157,0.10069070,0.16061028,0.81213091
7,0.01898075,0.08837073,0.14315956,0.82000709,0.06946090,0.11247846,0.87615144,0.10728055,0.16833868,0.77433510,0.07743130,0.12165259,0.87383211,0.06801281,0.10015665,0.89689350,0.08684979,0.13988335,0.85749153
8,0.01537804,0.07457335,0.12589654,0.86079901,0.06397448,0.10469086,0.89270740,0.08517221,0.14401286,0.83484235,0.06255999,0.10044673,0.91398431,0.05691245,0.08300287,0.92918704,0.06820754,0.11528058,0.90321212
9,0.01290033,0.07067326,0.12027006,0.87296314,0.06424930,0.10402272,0.89407253,0.07709722,0.13456986,0.85579119,0.06107249,0.09776531,0.91851538,0.05820175,0.08390357,0.92764187,0.06394323,0.10989223,0.91204863
10,0.01147378,0.06703139,0.11766587,0.87840501,0.06234223,0.10353462,0.89506426,0.07172056,0.13027315,0.86485313,0.05812264,0.09595450,0.92150593,0.05501579,0.07963511,0.93481681,0.06122948,0.10987622,0.91207425
11,0.01056122,0.06310068,0.11187997,0.89006920,0.05871894,0.09637512,0.90907525,0.06748241,0.12548343,0.87460827,0.05618315,0.09175024,0.92823371,0.05635935,0.08046850,0.93344537,0.05600696,0.10178916,0.92454089
12,0.00995389,0.06031497,0.10898210,0.89569022,0.05930717,0.09970720,0.90267930,0.06132277,0.11752731,0.89000479,0.05561087,0.09352723,0.92542688,0.05586058,0.08054859,0.93331282,0.05536116,0.10491240,0.91983915
